source_sentence,target_sentence
"Lillian Diana Gish (October 14, 1893 – February 27, 1993) was an American actress, director and screenwriter.","ⵍⵉⵍⵢⴰⵏ ⴷⵢⴰⵏⴰ ⴳⵉⵛ (14 ⴽⵟⵓⴱⵕ, 1893 - 27 ⴱⵕⴰⵢⵕ, 1993) ⵜⴽⴰⵜⵜⵉⵏ ⵜⴳⴰ ⵜⴰⵙⵎⴷⴰⵢⵜ, ⴷ ⵜⴰⵎⵙⵙⵓⴼⵖⵜ ⴷ ⵜⴰⵏⴰⵙⵔⴰⵢⵜ ⵏ ⵓⵙⵉⵏⴰⵔⵢⵓ ⵜⴰⵎⵉⵔⵉⴽⴰⵏⵉⵜ."
"Gish was a prominent film star from 1912 into the 1920s, being particularly associated with the films of director D. W. Griffith.","ⴳⵉⵛ ⵜⴽⴽⴰⵜⵉⵏ ⵜⴳⴰ ⵜⵉⵜⵔⵉⵜ ⴱⴰⵀⵔⴰ ⵉⵎⵇⵇⵓⵔⵏ ⵙⴳ 1912 ⴰⵔ ⵉⵙⴳⴳⴰⵙⵏ ⵏ 1920, ⵍⵉⵖ ⵜⴽⴽⴰⵜⵉⵏ ⵜⵙⵙⵓⵔ ⴳ ⵍⴰⴼⵍⴰⵎ ⵏ ⵓⵙⴼⴼⵓⴳ ⴷ. ⵡ. ⴳⵔⵉⴼⵉⵜ."
"She also did considerable television work from the early 1950s into the 1980s, and closed her career playing opposite Bette Davis in the 1987 film The Whales of August.","ⵜⵙⴽⵔ ⴷⴰⴳ ⵢⴰⵜ ⵍⵅⴷⵎⵜ ⵉⵙⵜⴰⵡⵀⵎⵎⴰⵏ ⴳ ⵙⵉⵣⵡⴰⵔ ⵏ ⵉⵙⴳⴳⵯⴰⵙⵏ ⵏ 1950 ⴰⵔ ⵉⵙⴳⴳⵯⴰⵙⵏ ⵏ 1980, ⴷ ⵜⵇⵇⵏ ⵜⴰⵖⴰⵔⴰⵙⵜ ⵏⵏⵙ ⵍⵍⵉⵖ ⵜⵎⵜⵜⵍ ⴷ ⴱⵉⵜⵜⵉ ⴷⵉⵢⴼⵉⵙ ⴳ ⵍⴼⵉⵍⵎ ⴷⴰ ⵡⴰⵢⵍⵣ ⵓⴼ ⵓⴳⵓⵙⵜ ⵏ 1987."
The first several generations of Gishes were Dunkard ministers.,ⵎⵏⵏⴰⵡ ⵉⵖⵔⴼⵏ ⵣⵡⴰⵔⵏⵉⵏ ⵏ ⴰⵉⵜ ⴳⵉⵛ ⴽⴰⵏⵜⵜⵉⵏ ⴳⴰⵏ ⵉⵔⴳⴰⵣⵏ ⵏ ⴷⴷⵉⵏ ⴰⵎⴰⵙⵉⵃⵉ.
"Their mother opened the Majestic Candy Kitchen, and the girls helped sell popcorn and candy to patrons of the old Majestic Theater, located next door.","ⵜⵔⵣⴻⵎ ⵉⵏⵏⴰⵙⵏⵜ ⵎⴰⵊⵉⵙⵜⵉⴽ ⴽⴰⵏⴷⵢ ⴽⵉⵜⵛⴻⵏ ⴷ ⵜⴼⵔⵅⵉⵏ ⵄⴰⵡⵏⵏⵜ ⵖⵓⵣⵣⵏⵣ ⵏ ⵜⵉⵔⵓⴼⵉⵏ ⴷ ⵍⴼⴰⵏⵉⴷ ⵉ ⵉⴷⴱⵓ ⵍⵎⵙⵔⴰⵃ ⵎⴰⵊⴻⵙⵜⵉⴽ, ⵜⴰⵎⴰ ⵏⵏⵙⵏ."
"The seventeen-year-old Lillian traveled to Shawnee, Oklahoma, where James's brother Alfred Grant Gish and his wife, Maude, lived.","ⵍⵉⵖ ⴷⴰⵔⵙ ⵙⴰ ⴷ ⵎⵔⴰⵡ ⵍⵉⵍⵢⴰⵏ ⵜⵎⵎⵓⴷⴷⴰ ⵙ ⵛⴰⵡⵏⵉ ⵓⴽⵍⴰⵀoⵎⴰ ⵍⵍⵉⵖ ⵏ ⵉⵣⴷⵖ ⴳⵎⴰⵙ ⵏ ⵊⵉⵎⵙ ⴰⵍⴼⵔⵉⴷ ⴳⵔⴰⵏⵜ ⴳⵉⵛ ⴷ, ⵎⵓⴷ, ⵜⴰⵎⵖⴰⵔⵜ ⵏⵏⵙ."
"Her father died in Norman, Oklahoma, in 1912, but she had returned to Ohio a few months before this.","ⵉⵎⵎⵓⵜ ⵉⴱⴱⴰⵙ ⴳ ⵏⵓⵔⵎⴰⵏ, ⵓⴽⵍⴰⵀoⵎⴰ, ⴳ 1912, ⵎⴰⵛ ⵜⵓⵔⵔⵉⴷ ⵙ ⵓⵀⴰⵢⵓ ⵎⵏⵏⴰⵡ ⵉⵢⵢⵓⵔⵏ ⵙⵉⵣⵡⴰⵔ."
"When Lillian and Dorothy were old enough they joined the theatre, often traveling separately in different productions.","ⵍⵍⵉⵖ ⵜⵎⵇⵇⵓⵔ ⵍⵉⵍⵢⴰⵏ ⴷ ⴷⵓⵔⵓⵜⵉ ⴽⵛⵎⵏⵜ ⵙ ⵓⵎⵣⴳⵓⵏ, ⵎⵎⵓⴷⴷⵓⵏⵜ ⵣⵍⵉⵏⵜ ⵃⵉⵏⴰ ⴳ ⵓⵙⴼⴼⵓⵖⵏ ⵣⵍⵉⵏⵉⵏ."
"Gish continued to perform on the stage, and in 1913, during a run of A Good Little Devil, she collapsed from anemia.","ⴳⵉⵛ ⵜⵎⴹⴼⴰⵔ ⵜⴰⵡⵡⵓⵔⵉ ⵏⵏⵙ ⴳ ⵓⵎⵣⴳⵓⵏ ⴰⵔ 1913, ⵍⵉⵖ ⵉⵍⵍⴰ ⴰ ⴳⵓⴷ ⵍⵉⵜⵜⵍ ⴷⵉⴼⵉⵍ, ⵜⵓⵙⵅⵉ ⵙ ⴼⴰⵇⵔ ⴷⴷⴰⵎ."
Her performance in these frigid conditions gave her lasting nerve damage in several fingers.,ⵜⴰⵡⵡⵓⵔⵏⵉⵙ ⵖ ⴷⴷⵓⵔⵓⴼ ⴰⴷ ⵀⵔⵛⵏⵉⵏ ⴼⴰⵏⴰⵙ ⴰⵇⵓⵛⵛⵃ ⵖ ⵉⴹⵓⴹⴰⵏ.
"He utilized her expressive talents to the fullest, developing her into a suffering yet strong heroine.",ⵉⵙⵙⵎⵔⵙ ⵍⵎⴰⵡⴰⵀⵉⴱ ⵏⵏⵙ ⴰⵔ ⵓⵣⵣⵓⵔ ⵏⵏⵙⵏ ⴷ ⵉⵙⴱⵓⵖⵍⴰⵜ ⵙ ⵢⴰⵜ ⵜⴰⴱⵃⵍⴻⵢⵜ ⵜⴰⵙⵃⵓⵙⵉⵜ ⵎⴰⵛ ⵜⴰⵎⴰⴽⴰⵢⵜ.
"She directed her sister Dorothy in one film, Remodeling Her Husband (1920), when D. W. Griffith took his unit on location.","ⵜⵙⴽⵔ ⵓⵙⵓⴼⵖⴷ ⵓⵍⵜⵎⴰⵙ ⴷⵓⵔⵓⵜⵉ ⵖ ⵢⴰⵏ ⵍⴼⵉⵍⵎ, ⵔⴻⵎⵓⴷⵍⵉⵏ ⵀⵉⵔ ⵀⴰⵣⴱⴰⵏⴷ (1920), ⵍⵉⵖ ⵢⵓⵙⵉ ⴷ. ⵡ. ⴳⵔⵉⴼⵉⵜ ⵜⴰⴳⴳⴰⵢⵜⵏⵙ ⵙ ⵓⴷⵖⴰⵔ."
"She turned down the money, requesting a more modest wage and a percentage so that the studio could use the funds to increase the quality of her films — hiring the best actors, screenwriters, etc.",ⵜⵓⴳⵉ ⵉⵇⴰⵔⵉⴹⵏ ⵎⴰⵛ ⵜⵙⵙⵓⵜⵔ ⵙ ⵢⴰⵏ ⵚⵚⴰⵍⵉⵔ ⵉⵜⵜⵏⴽⵛⵓⴼⵏ ⴷ ⵢⴰⵜ ⵜⵉⴳⵎⵉⴹⵉ ⵉ ⵙⵜⵓⴷⵢⵓ ⴱⴰⵛ ⴰⴷ ⵙⵙⵓⵖⵍⵉⵏ ⵜⴰⵖⴰⵔⴰ ⵏ ⵍⴰⴼⵍⴰⵎⵏⵙ — ⵉⵜⵙⵙⵅⴷⵎ ⴰⵎⴰⴼⴰⵢ ⵏ ⵉⵙⵎⴷⴰⵢⵏ ⴷ ⵉⵏⴰⵙⵔⴰⵢⵏ ⵏ ⵓⵙⵉⵏⴰⵔⵢⵓ.
"Many of the silent era's leading ladies, such as Gish and Pickford, had been wholesome and innocent, but by the early 1930s (after the full adoption of sound and before the Motion Picture Production Code was enforced) these roles were perceived as outdated.","ⵜⵓⴳⴳⵜ ⵏ ⵜⵉⵍⴰⵍⵍⴰⵜⵉⵏ ⵏ ⵍⵃⵉⵇⴱⵜ ⵉⵃⵉⵙⵙⵉⵏ, ⵣⵓⵏⴷ ⴳⵉⵛ ⴷ ⴱⵉⴽⴼⵓⵔⴷ, ⴷⵓⵙⵏⵜ ⴷ ⴳⴰⵏⵜ ⵜⵉⵣⵣⵉⴷⴳⴰ, ⵎⴰⵛ ⵖ ⵓⵙⴳⴳⵯⴰⵙⵏ ⵣⵡⴰⵔⵏⵉⵏ ⵏ 1930 (ⴹⴰⵕⵜ ⴰⵙⵙⴳⵎ ⵏ ⵓⵎⵙⵍⵉ ⴷ ⴷⴰⵜ ⴰⵣⵣⴳⵉⵔ ⵏ ⵓⵣⵔⴼ ⵏ ⵜⴰⵙⵢⴰⴼⵓⵜ ⵏ ⵍⴰⴼⵍⴰⵎ) ⵜⵉⵍⴰⵍⴰⵜⵉⵏ ⴽⴰⵏⵜⵉⴽ ⴳⴰⵏⵜ ⵉⵡⵙⵙⴰⵔⵏ."
